QR,ID,C_Ra,Sigma_CRa,E,C_Rn1,C_Rn2,C_Rn3,C_Ra1,C_Ra2,C_Ra3,CRa_F,CRRa,E1,E2,E3,Sigma_CRn1,Sigma_CRn2,Sigma_CRn3,Sigma_CRa1,Sigma_CRa2,Sigma_CRa3,Sigma_CRaF,Sigma_CRRa,Sigma_E1,Sigma_E2,Sigma_E3,Sigma_E,Fe,Al,Si,Mn,pH
B01,NS8,75,5,59.54,440,520,401,14.42,17.12,13.11,44.65,30.35,19.23,22.83,17.48,40,54,60,1.36,1.82,1.99,3.02,5.84,2.22,2.87,2.89,4.64,39591,122604,198775,426,7.51
B02,NS18,70,4,55.27,254,520,410,8.16,17.12,13.41,38.69,31.31,11.65,24.46,19.16,40,54,60,1.3,1.82,1.99,3,5,1.97,2.96,3.05,4.68,,,,,7.55
B03,NS32,58,7,78.21,342,600,440,11.12,19.82,14.42,45.36,12.64,19.17,34.17,24.87,47,59,56,1.55,2.01,1.87,3.15,7.68,3.54,5.38,4.4,7.8,38013,81405,249142,1038,7.46
B04,NS18-II,70,4,73.28,450,610,498,14.76,20.15,16.38,51.29,18.71,21.09,28.79,23.4,54,62,56,1.81,2.1,1.88,3.35,5.22,2.85,3.43,3,5.37,,,,,7.55
B05,NS15,51,3,92.31,363,570,500,11.83,18.81,16.45,47.08,3.92,23.19,36.87,32.25,54,71,67,1.78,2.39,2.24,3.73,4.78,3.75,5.16,4.78,7.97,49707,143098,200575,296,7.88
B06,NS4-II,106,5,63.62,710,547,780,23.52,18.03,25.88,67.44,38.56,22.19,17.01,24.42,68,74,71,2.32,2.48,2.44,4.18,6.52,2.43,2.47,2.57,4.31,40320,33125,264840,125,8.1
B08,NS1,87,4,83.05,600,930,650,19.82,30.94,21.5,72.26,14.74,22.78,35.56,24.71,66,81,77,2.23,2.79,2.6,4.42,5.96,2.77,3.6,3.2,5.56,28800,69300,228977,480,8.06
B09,NS5,92,4,60.92,690,680,329,22.85,22.51,10.68,56.04,35.96,24.84,24.47,11.61,68,85,53,2.32,2.87,1.74,4.08,5.71,2.74,3.29,1.96,4.71,52800,87990,272973,330,7.93
B10,NS71,112,4,94.6,1230,1340,610,41.05,44.76,20.15,105.96,6.04,36.65,39.96,17.99,320,120,160,10.72,4.15,5.31,12.67,13.28,9.66,3.97,4.78,11.49,,,,,7.98
B11,NS4,107,5,66.02,840,582,710,27.9,19.21,23.52,70.64,36.36,26.08,17.95,21.98,110,130,190,3.72,4.32,6.32,8.51,9.87,3.68,4.12,6,8.15,40500,33540,264974,150,8.04
B12,NSG-II,195,6,69.89,880,2130,1070,29.25,71.38,35.66,136.29,58.71,15,36.6,18.28,74,130,85,2.56,4.68,2.96,6.1,8.56,1.39,2.65,1.62,3.4,,,,,8.05
B13,NS39,157,4,88.76,1630,2120,421,54.53,71.04,13.78,139.35,17.65,34.73,45.25,8.78,370,280,55,12.45,9.54,1.83,15.79,16.29,7.98,6.18,1.19,10.16,45300,80298,234219,1171,8.04
B14,NS28,193,4,77.36,1800,2200,466,60.26,73.74,15.3,149.3,43.7,31.22,38.21,7.93,260,360,60,8.82,12.2,2,15.19,15.7,4.62,6.37,1.05,7.94,,,,,8.13
B15,NSG,195,6,19.82,500,405,278,16.45,13.24,8.96,38.66,156.34,8.43,6.79,4.6,32,55,49,1.12,1.83,1.59,2.67,6.57,0.63,0.96,0.83,1.42,,,,,8.05
B16,NS33,106,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,8.1
B17,NS25,102,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,8.04
B18,NS65,100,5,70.91,330,940,870,10.72,31.27,28.92,70.91,29.09,10.72,31.27,28.92,51,77,110,1.68,2.67,3.72,4.88,6.98,1.76,3.09,3.99,5.35,34152,132967,203915,0,7.78
B19,NS43,89,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,7.8
B20,NS30,74,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,7.9
B21,NS80,66,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,7.84
B22,NS26,66,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,7.83
B23,NS57,65,4,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,7.53
B24,NS61,59,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,8.11
B25,NS13,57,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,8.05
B26,NS63,57,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,7.46
B27,NS19,51,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,7.63
B28,NS36,51,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,7.47
B29,NS35,50,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,7.88
B30,NS58,50,3,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,7.74
B31,NS60,49,5,,,,,,,,,,,,,,,,,,,,5,,,,,39936,138297,195906,0,8.11
B32,NS16,41,5,,,,,,,,,,,,,,,,,,,,5,,,,,63690,87600,244976,300,7.45
B33,NS17,38,5,,,,,,,,,,,,,,,,,,,,5,,,,,95490,74400,274973,350,7.63
B34,NS29,38,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,7.6
B35,NS7,34,2,,,,,,,,,,,,,,,,,,,,2,,,,,75260,131633,208803,0,7.48
B36,NS83,34,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,7.88
B37,NS82,34,2,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,7.86
B38,NS44,33,5,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,7.66
B39,NS27,28,6,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,7.87
B40,NS23,26,2,,,,,,,,,,,,,,,,,,,,2,,,,,34603,97840,261781,238,7.65
B41,NS51,26,6,,,,,,,,,,,,,,,,,,,,6,,,,,21332,65983,274672,443,7.93
B42,NS10,25,1,,,,,,,,,,,,,,,,,,,,1,,,,,39671,78677,232219,896,7.66
B43,NS38,25,6,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,7.9
