QR,ID,pH_fix,E,Sigma_E,CRn,Sigma_CRn,CRa,Sigma_CRa,CRn_F,Sigma_CRnF,CRa_F,Sigma_CRaF,CRn_Bg,D_Rn,D_RnF,D_Ra,D_RaF,Sigma_DRn,Sigma_DRnF,Sigma_DRa,Sigma_DRaF
M02,KP6-TanSon,7.32,99.65,0.33,860,75,1143.14,103.4,15,14,4.04,3.78,12,6.278,0.08,233.658,0.827,0.548,0.075,21.135,0.772
M01,KM-41,7.08,99.81,0.08,580,56,765.69,76.18,13.1,5.1,1.48,0.58,12,4.234,0.07,156.507,0.303,0.409,0.027,15.571,0.118
M03,TanSon,6.56,98.51,1.42,347,51,451.59,67.25,17,16,6.74,6.35,12,2.533,0.091,92.306,1.378,0.372,0.085,13.746,1.297
M06,LaVang,6.97,95.83,3.2,300,50,388.24,65.37,24,18,16.18,12.14,12,2.19,0.128,79.356,3.306,0.365,0.096,13.362,2.481
M14,MySon,7.17,,,235,40,300.61,51.67,,0,,,12,1.716,,61.445,,0.292,,10.562,
M07,HanhTri,7.08,92.35,7.04,195,49,246.69,62.27,26,23,18.87,16.7,12,1.424,0.139,50.424,3.858,0.358,0.123,12.728,3.414
M04,TamNgan,7.23,96.93,2.79,175,39,219.73,49.25,17,15,6.74,5.95,12,1.278,0.091,44.913,1.378,0.285,0.08,10.067,1.216
M15,MySon-MyHiep,8.05,,,173,30,217.03,37.99,,0,,,12,1.263,,44.362,,0.219,,7.766,
M10,TraGiang2,7.23,87.92,8.66,161,42,200.86,52.62,30,20,24.26,16.19,12,1.175,0.16,41.055,4.96,0.307,0.107,10.755,3.309
M16,TanMy2,7.22,77.7,10.95,160,33,199.51,41.43,45,20,44.49,19.8,12,1.168,0.24,40.78,9.093,0.241,0.107,8.468,4.047
M13,ThanhHa,7.35,77.03,17.65,160,33,199.51,41.43,46,34,45.83,33.89,12,1.168,0.245,40.78,9.368,0.241,0.181,8.468,6.928
M09,TraGiang2-A,7.09,87.07,8.07,159,36,198.16,45.12,31,18,25.61,14.88,12,1.161,0.165,40.504,5.235,0.263,0.096,9.222,3.042
M12,43-ThienThe,7.21,78.01,12.55,153,30,190.07,37.55,43,23,41.79,22.37,12,1.117,0.229,38.851,8.542,0.219,0.123,7.675,4.573
M17,Gon,7.12,,,149,31,184.68,38.68,,0,,,12,1.088,,37.749,,0.226,,7.906,
M19,KP7-TanSon,7.32,,,141,32,173.9,39.69,,0,,,12,1.029,,35.545,,0.234,,8.112,
M18,TanMy,8.16,,,141,38,173.9,47.05,,0,,,12,1.029,,35.545,,0.277,,9.617,
M20,HoaSon1,8.06,95.76,2.21,130,29,159.07,35.69,17,8,6.74,3.18,12,0.949,0.091,32.514,1.378,0.212,0.043,7.295,0.649
M21,KM-42,7.82,,,120,30,145.59,36.56,,0,,,12,0.876,,29.758,,0.219,,7.474,
M05,TraGiang1,7.34,96.04,3.38,113,29,136.15,35.09,16,13,5.39,4.38,12,0.825,0.085,27.83,1.102,0.212,0.069,7.173,0.896
M22,CauDuDi,8.67,,,110,25,132.11,30.19,,0,,,12,0.803,,27.003,,0.182,,6.171,
M23,HoaSon2,7.56,,,92,26,107.84,30.59,,0,,,12,0.672,,22.043,,0.19,,6.252,
M24,SongPha,7.69,,,91,22,106.5,25.87,,0,,,12,0.664,,21.768,,0.161,,5.288,
M11,NinhBinh2,8.85,89.87,7.99,91,22,106.5,25.87,20,15,10.78,8.09,12,0.664,0.107,21.768,2.204,0.161,0.08,5.288,1.654
M08,NinhBinh2-A,9.06,89.61,8.64,89,20,103.8,23.46,20,16,10.78,8.63,12,0.65,0.107,21.217,2.204,0.146,0.085,4.795,1.764
M25,KM-45,7.58,,,80,22,91.67,25.3,,0,,,12,0.584,,18.737,,0.161,,5.172,
M26,43-NhaBaVan,7.42,,,78,20,88.97,22.91,,0,,,12,0.569,,18.186,,0.146,,4.683,
M27,44-CongThon,7.93,,,74,21,83.58,23.8,,0,,,12,0.54,,17.083,,0.153,,4.865,
M28,SongPha2,7.95,,,70,19,78.19,21.3,,0,,,12,0.511,,15.981,,0.139,,4.355,
M29,NinhBinh1,8.2,,,69,18,76.84,20.13,,0,,,12,0.504,,15.706,,0.131,,4.114,
M30,TrieuPhong,7.52,,,65,17,71.45,18.76,,0,,,12,0.475,,14.604,,0.124,,3.835,
